https://github.com/lukes/ISO-3166-Countries-with-Regional-Codes/blob/master/all/all.csv
https://www.evertype.com/standards/iso9/document/n02.html

Pl.	name	nom	dir.	type	loc.	source	?
0	Arabic	arabe	RTL	cons	WSA	FGHINU	o
0	Arabic (Karmatic variant)	arabe (variant karmatique)	RTL	cons	WSA	FIU	 
0	Arabic (Kufi variant)	arabe (variant coufique)	RTL	cons	WSA	FGHIU	 
0	Arabic (Maghribi variant)	arabe (variant maghrébien)	RTL	cons	WSA	FGIU	 
0	Arabic (Naskhi variant)	arabe (variant naskhî)	RTL	cons	WSA	FGIU	 
0	Arabic (Nastaliq variant)	arabe (variant nasta'lîq)	RTL	cons	WSA	FGIU	 
0	Aramaic	araméen	RTL	cons	WSA	FGHINU	 
0	Armenian	armenien	LTR	alph	EUR	FGHINU	o
0	Batak	batak	LTR	syll	SEA	FGHNU	o
0	Bengali	bengali	LTR	syll	SEA	FGHNU	o
0	Bopomofo	bopomofo	LTR	alph	ESA	U	 
0	Braille	braille	LTR	alph	EUR	U	 
0	Buginese	bugi	LTR	syll	SEA	FGHINU	o
0	Burmese	birman	LTR	syll	SEA	FGHINU	o
0	Canadian Syllabic	syllabaire canadien	LTR	syll	AMK	FGHNU	o
0	Cham	cham	LTR	syll	SEA	GIN	 
0	Cherokee	cherokee	LTR	alph	AMK	FGHNU	o
0	Coptic	copte	LTR	alph	WSA	FGHINU	o
0	Cyrillic	cyrillique	LTR	alph	EUR	FGHNU	o
0	Cyrillic (Slavonic variant)	cyrillique (variant slavon)	LTR	alph	EUR	FGHINU	 
0	Dai	daï	LTR	syll	ESA	 	 
0	Devanagari	devanâgarî	LTR	syll	SOA	FGHINU	o
0	Ethiopic	éthiopique	LTR	syll	WSA	FGHINU	o
0	Georgian (Mxedruli)	géorgien (mxedruli)	LTR	alph	EUR	FGHINU	o
0	Georgian (Xucuri variant)	géorgien (variant xucuri)	LTR	alph	EUR	FGHNU	o
0	Glagolitic	glagolitique	LTR	alph	EUR	FGHNU	 
0	Greek	grec	LTR	alph	EUR	FGHINU	o
0	Gujarati	goudjarâtî (gujrâtî)	LTR	syll	SOA	FGHINU	o
0	Gurmukhi	pendjabi	LTR	syll	SOA	FGHNU	o
0	Han ideographs	idéographes Han	LTR	ideo	ESA	FGHINU	o
0	Hangul	hangul	LTR	syll	ESA	FGHNU	o
0	Hebrew	hébreu	RTL	cons	WSA	FGHNU	o
0	Hebrew (rabbinic variant)	hébreu (variant rabbinique)	RTL	cons	WSA	GIU	 
0	Hiragana	hiragana	LTR	syll	ESA	FGHINU	o
0	Javanese (U. unif. Balinese)	javanais	LTR	syll	SEA	FGHINU	o
0	Kannada	kannara (canara)	LTR	syll	SOA	FGHINU	o
0	Karenni (Kayah Li)	karenni (kayah li)	 	 	 	 	 
0	Katakana	katakana	LTR	syll	ESA	FGHINU	o
0	Khmer	mon-kmer	LTR	syll	SEA	FGHINU	o
0	Kirat (Limbu)	kirat (limbu)	LTR	syll	SOA	GU	 
0?	Kuoyu	kuoyu	 	 	 	N	 
0	Lao	laotien	LTR	syll	SEA	FGHINU	o
0	Latin	latin	LTR	alph	EUR	FGHINU	o
0	Latin (Fraktur variant)	latin (variant brisé)	LTR	alph	EUR	FGHIU	 
0	Latin (Gaelic variant)	latin (variant gaélique)	LTR	alph	EUR	FGHU	o
0	Lepcha (Róng)	leptcha (rong)	LTR	syll	SOA	FGHNU	o
0	Lisu	lissou	LTR	alph	SEA	G	o
0	Malayalam	malayalam	LTR	syll	SOA	FGHNU	o
0	Meitei (Manipuri)	meitei (manipuri)	LTR	syll	SEA	HNU	 
0	Mongolian	mongol	TTB	alph	CNA	FGHINU	 
0	Ogham	ogham	BTT	alph	EUR	FGHNU	 
0	Oriya	oriya	LTR	syll	SOA	FGHNU	o
0	Pahlavi (U cf. Avestan)	pehlavi	LTR	cons	WSA	FGHNU	 
0	'Phags-pa (Passepa)	phags-pa	LTR	syll	SOA	FGHIN	 
0	Phoenician	phénicien	RTL	cons	WSA	GHINU	 
0	Runic	runique	LTR	alph	EUR	FGHINU	 
0	Samaritan	samaritain	RTL	cons	WSA	FGN	 
0	Siddham	siddham	LTR	syll	CNA	HNU	 
0	Sinhala	singhalais	LTR	syll	SOA	FGHINU	o
0	Syriac (Estrangelo variant)	syriaque (variant estrangélo)	RTL	cons	WSA	FGHINU	 
0	Syriac (Jacobite variant)	syriaque (variant jacobite)	RTL	cons	WSA	FGHINU	 
0	Syriac (Nestorian variant)	syriaque (variant nestorien)	RTL	cons	WSA	FGHINU	o
0	Tai Lue (Chiang Mai)	taï lue (tchiang maï)	LTR	syll	ESA	NU	 
0	Tai Nua (Tai Mau)	taï nua (taï mau)	LTR	syll	ESA	NU	 
0	Tamil	tamoul	LTR	syll	SOA	FGHINU	o
0	Telugu	télougou	LTR	syll	SOA	FGHINU	o
0	Thaana	maldivien	RTL	cons	SOA	FHNU	 
0	Thai	thaï	LTR	syll	SEA	FGHINU	o
0	Tibetan (dbu-can)	tibétain (dbu-can)	LTR	syll	SOA	FGHINU	o
0	Tibetan (dbu-med variant)	tibétain (variant dbu-med)	LTR	syll	SOA	FGHNU	o
0	Tibetan ('khyug-yig variant)	tibétain (variant 'khyug-yig)	LTR	syll	SOA	FHU	 
0	Tifinagh (U unif. Numidian)	tifinag	RTL	cons	AFR	FGHINU	o
0	Yi	yi	LTR	syll	SEA	U	 
1	Abur (Permic)	abour	LTR	alph	EUR	H	 
1	Ahom	ahom	LTR	syll	SOA	FGHNU	 
1	Aiha (Kesh)	aïha (Kesh)	LTR	alph	FIC	 	 
1	Assyrian cuneiform (Babylonian & Akkadian)	cunéiforme ninivite	LTR	mixt	WSA	FGHINU	 
1	Aymara ideographs	idéographes aymara	LTR	ideo	AMK	GN	 
1	Aztec pictograms	pictogrammes aztèques	BOU	mixt	AMK	FGHN	 
1	Balinese (U unif. Javanese)	balinais	LTR	syll	SEA	GU	o
1	Balti	baltî	RTL	mixt	SOA	GNU	 
1	Bamum	bamoum	LTR	syll	AFR	GN	o
1	Blissymbols (0 if decomposed)	blissymboles (0 avec décomposition)	LTR	ideo	AMK	 	 
1	Brahmi	brâhmî	LTR	syll	SOA	FGHINU	 
1	Buthakukye (Albanian)	buthakukye (albanien)	LTR	alph	EUR	FGN	o
1	Carian	carien	RTL	mixt	WSA	GH	*
1	Chakma	tchakma	LTR	syll	SOA	GN	o
1	Chalukya (Box-headed) (U. cf. Brahmi)	tchalukya	LTR	syll	SOA	GHNU	 
1	Chinook shorthand	shorthand Chinook	LTR	 	 	 	 
1	Cirth	cirth	LTR	alph	FIC	 	 
1	Cypriote	cypriote	RTL	syll	WSA	FGHIN	*
1	Cypro-Minoan	cypro-minoain	LTR	syll	WSA	GH	*
1	Deseret (Mormon)	deseret (mormon)	LTR	alph	AMK	FNU	 
1	Egyptian hieroglyphs	hiéroglyphes égyptiens	LTR	mixt	WSA	FGHINU	 
1	Elamite (Proto-Elamic)	élamite (proto-élamique)	RTL	mixt	WSA	GHN	~*
1	Elbasan (Albanian)	elbassain (albanien)	LTR	alph	EUR	FG	o
1	Etruscan & Oscan	étrusque & osque	LTR	alph	EUR	FGHINU	*
1	Gothic	gothique ancien	LTR	alph	EUR	FGHIN	 
1	Hittite cuneiform	cunéiforme hittite	LTR	syll	WSA	 	 
1	Hittite hieroglyphic	hittite hiéroglyphique	BOU	mixt	WSA	FGHINU	*
1	Iberian	ibérique	LTR	alph	EUR	FGHIN	*
1	Indus Valley	Valle d'Indus	RTL	mixt	SOA	GHN	*
1	Kaithi	kaïthî	LTR	syll	SOA	GHN	o
1	Kauder (Micmac)	Kauder (micmac)	LTR	ideo	 	FN	 
1	Kharoshthi	kharostrî	RTL	syll	SEA	GHIN	 
1	Khitan (Ch'i-tan, Liao)	khitan (ch'i-tan, liao)	 	ideo	ESA	GHN	*?
1	Klingon pIQaD	pIQaD klingonais	LTR	alph	FIC	 	 
1	Kök Turki	kök turki	LTR	mixt	CNA	GHN	 
1	Linear A	linéar A	LTR	syll	WSA	GHNU	*
1	Linear B	linéar B	LTR	syll	WSA	GHNU	 
1	Lycian	lycien	LTR	alph	WSA	FGHN	*
1	Lydian	lydien	RTL	alph	WSA	GHN	*
1	Mandaean, Mandaic	mandéen	RTL	cons	WSA	FGHIN	 
1	Manichaean	maniquéen	RTL	cons	WSA	GHN	 
1	Mayan hieroglyphs	hiéroglyphes maya	RTL	syll	AMK	FGHIN	(*)
1	Meroitic	méroïtique	RTL	alph	AFK	GHNU	*
1	Modi	modi	LTR	syll	SOA	FGHN	o
1	Nabataean	nabatéen	RTL	cons	WSA	FGHIN	 
1	Naxi (Nahsi, Nasi, Moso) ideograms	idéogrammes naxi (nahsi, nasi, moso)	LTR	ideo	ESA	GHNU	*
1	Naxi (Nahsi, Nasi, Moso) phonetic	phonetisme naxi (nahsi, nasi, moso)	LTR	ideo	ESA	NU	 
1	Nuchen (Yu-Chen)	nuchen (yu-tchen)	TTB	syll	ESA	GHN	*
1	Numidian (Libyan)	numidien (lybique)	RTL	cons	AFR	FGHI	 
1	Old Hungarian	ancien hungrois	LTR	alph	EUR	GHN	*
1	Old Persian cuneiform	cunéiforme persépolitain	LTR	alph	WSA	FHINU	 
1	Osmanya	osmanya	LTR	alph	AFR	GN	o
1	Pahawh Hmong	hmong	 	 	 	 	 
1	Palmyrene	palmyrénien	RTL	cons	WSA	FGHIN	 
1	Paucartambo	pancartambo	LTR	ideo	AMK	GN	 
1	Phaistos Disk	disque phaistos	LTR	ideo	WSA	GHN	*
1	Pollard Phonetic (Miao)	phonétique de Pollard (miao)	LTR	syll	ESA	GN	o
1	Pyu (Tircul)	pyou (tircoul)	LTR	syll	SEA	NU	 
1	Rejang	rédjang	LTR	syll	SEA	FGHN	 
1	Rongorongo	rongo-rongo	BOU	ideo?	SEA	GHN	*
1	Shavian (Shaw)	Shavien (Shaw)	LTR	alph	EUR	U	 
1	Sogdian	sogdien	RTL	cons	CNA	GH	 
1	South Arabian (Sabaean)	sud-arabique (sabéen)	RTL	cons	WSA	FGHIN	 
1	Sumerian pictograms	pictogrammes sumeriens	LTR	ideo	WSA	GHN	 
1	Tagalog, Bisaya (Philippines)	tagalog, bisaya (Philippines)	LTR	syll	SEA	FGHNU	o
1	Tengwar	tengwar	LTR	alph	FIC	 	 
1	Tungut (Xixia) ideograms	idéogrammes tungut (xixia)	TTB	mixt	ESA	GHN	*
1	Ugaritic cuneiform	cunéiforme ugaritique	LTR	cons	WSA	FHNU	 
1	Uighur	ouïgour	RTL	cons	CNA	FGHN	 
1	Vai	vaï	LTR	syll	AFR	FGN	o
1	Veso Bei (Albanian)	veso bei (albanien)	LTR	alph	EUR	F	 
1	Woleai	woléai	LTR	syll	SEA	G	 
x	Abyssinian	abyssinien	RTL	cons	WSA	GH	o
x	Adriatic	adriatique	LTR	alph	EUR	H	 
x	Alaska (Uyakoq)	alaska (Uyakoq)	LTR	syll	AMK	GH	o
x	Alpine	alpine	RTL	alph	EUR	H	 
x	Alvan	alvain	LTR	alph	EUR	G	 
x	Assamese	assamais	LTR	syll	SOA	FG	o
x	Avestan (U. unif. Pahlavi)	zend avestique	RTL	cons	WSA	FGHINU	 
x	Brahmi Sinhala	singhalais brahmî	LTR	syll	SOA	H	 
x	Buhid (Philippines) (U unif. Tagalog)	buhid (Philippines)	LTR	syll	SEA	GNU	o
x	Byblos	byblos	RTL	syll	WSA	GHNU	 
x	Canaanitic (Palæo-Hebrew)	cananite (paléo-hébreu)	RTL	cons	WSA	FN	 
